Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,composite_flux_th1,composite_flux_th2,composite_flux,alpha_proton_ratio,velocity_magnitude
2025-07-03 00:11:36.618,13.99802025381202,350.37139295478863,33.01133648038271,0.2242860360620247,346.0303516375835,19.47833838926944,-350.37139295478863,-6.103824943220921,-2.4672128744466946,1275554.4813133883,251734.8035843724,-97239.16078966168,1544613.379511222,2566666.666666667,4111280.046177889,0.016022696923941503,350.4332416015699
2025-07-03 00:11:41.618,14.153811739452104,351.4185798074238,34.18067223639114,0.2321733290389336,346.15840938231105,20.455835509453063,-351.4185798074238,-2.3729098846135344,-6.84214915085068,1275554.4814546977,251736.15254338685,-97239.05954829464,1544613.379511222,2566666.666666667,4111280.046177889,0.016403590305767417,351.4931918831283
2025-07-03 00:11:46.618,13.955188943911056,351.8497710026468,34.51970658999438,0.2338510695499398,347.82212119671624,21.595949290554103,-351.8497710026468,-7.646161485923152,-7.492795973835157,1275554.4815965365,251737.5015544585,-97238.95830230904,1544613.379511222,2566666.666666667,4111280.046177889,0.016757284368548373,352.01259513203405
2025-07-03 00:11:51.618,14.111665760913642,353.3108808707559,33.48403259189499,0.241969762487685,348.04678266808713,20.809393096379907,-353.3108808707559,-4.556415289588529,-6.412230303870203,1275554.4817387797,251738.8505906315,-97238.8570537718,1544613.379511222,2566666.666666667,4111280.046177889,0.01714678951353075,353.3984382526761
2025-07-03 00:11:56.618,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-10.939722928269184,-4.525951822915303,1275554.4818813545,251740.1995439927,-97238.75581068888,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:12:01.618,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-12.67841460642738,-8.194532957292473,1275554.4820244834,251741.54854941028,-97238.65456300676,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:12:06.618,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-8.885057830265048,-7.021771642158228,1275554.4821680249,251742.8975259678,-97238.55331682338,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:12:11.618,14.301570988560194,352.5913988729745,34.57705309784077,0.2929964084911882,349.4103028351512,21.74725042481703,-352.5913988729745,-3.03135207488554,-6.64895390956972,1275554.4823119263,251744.2465006477,-97238.45207003607,1544613.379511222,2566666.666666667,4111280.046177889,0.020487008645802312,352.66711250511366
2025-07-03 00:12:16.618,16.90720879057769,350.39499183885107,34.23221994683935,0.3511741833751398,347.26260239127413,21.00066553663353,-350.39499183885107,-12.256233383012136,-8.668438395324323,1275554.4824563777,251745.59550041248,-97238.35082073529,1544613.379511222,2566666.666666667,4111280.046177889,0.020770677627808532,350.71642018402974
2025-07-03 00:12:21.618,16.918501667685984,349.8087836964542,34.66411681691933,0.3445939401453332,347.26033409947127,21.01816484552144,-349.8087836964542,-1.4811113820851212,-13.229251686842368,1275554.482601216,251746.9444982582,-97238.24957080145,1544613.379511222,2566666.666666667,4111280.046177889,0.02036787576783475,350.06198300060043
2025-07-03 00:12:26.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-8.688582247034347,-11.716122115827083,1275554.482746411,251748.29349429373,-97238.14832032497,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:12:31.618,16.564430122148625,350.150298174271,32.780839432221654,0.3853347771933921,349.755870972746,20.453276763938163,-350.150298174271,-9.273143413060374,-6.746093944925569,1275554.482892186,251749.6424344036,-97238.04707337642,1544613.379511222,2566666.666666667,4111280.046177889,0.02326278503708699,350.3380257462838
2025-07-03 00:12:36.619,16.420690260758526,352.2513610824482,33.72492378684093,0.3626694880601962,350.6054568975945,20.18413023210153,-352.2513610824482,-7.321862453325998,-6.998767777846496,1275554.4830383316,251750.9914266359,-97237.94582182594,1544613.379511222,2566666.666666667,4111280.046177889,0.022086129285739498,352.39695487423126
2025-07-03 00:12:41.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-7.635293904732428,-6.8682272606875046,1275554.48318496,251752.340416986,-97237.84456969117,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:12:46.619,16.676859159295365,352.7851005495166,32.80594772954581,0.3637518695689792,351.5033321692807,20.86491420320855,-352.7851005495166,-4.006759552964702,-8.486087056280269,1275554.4833318929,251753.68935148243,-97237.7433209868,1544613.379511222,2566666.666666667,4111280.046177889,0.021811773193888898,352.909896383446
2025-07-03 00:12:51.619,15.911635643496007,352.82615829549286,34.27966894246954,0.3916083897661765,351.96153216139027,20.59689487720916,-352.82615829549286,-4.792552896513413,-8.609322655510901,1275554.483479316,251755.03836504725,-97237.64206570102,1544613.379511222,2566666.666666667,4111280.046177889,0.024611447782004057,352.9637190667176
2025-07-03 00:12:56.619,15.790948632838465,352.0975736611599,33.91474878790015,0.355263908766338,351.1899168637825,21.192196151606783,-352.0975736611599,-12.25331517338838,-7.985257188392197,1275554.4836272197,251756.38732274304,-97237.54081388918,1544613.379511222,2566666.666666667,4111280.046177889,0.022497945945282857,352.401205223789
2025-07-03 00:13:01.619,16.274305866523832,352.5536137259484,33.73238666903047,0.3456224935887289,351.20114532962856,21.173924147779683,-352.5536137259484,-9.468635488927482,-7.769959785982898,1275554.4837755451,251757.7362785571,-97237.43956155668,1544613.379511222,2566666.666666667,4111280.046177889,0.021237310913497863,352.7663219247597
2025-07-03 00:13:06.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.1974681790597828,-6.858111316158812,1275554.4839242932,251759.0852324968,-97237.33830863,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:11.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-5.906920386035161,-6.657159111930028,1275554.484073488,251760.4342115148,-97237.23705312236,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:16.619,16.8016484141019,351.90652859138504,34.29291294633817,0.2924950968457847,351.7559271435771,20.42390558148135,-351.90652859138504,-13.31896969254101,-8.09000646194265,1275554.484223131,251761.78316168848,-97237.13579911152,1544613.379511222,2566666.666666667,4111280.046177889,0.017408714290217422,352.2513988949716
2025-07-03 00:13:21.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-10.40707329916303,-6.731833056697965,1275554.4843731578,251763.13210996133,-97237.0345445085,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:26.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-12.78222333250806,-5.1066737172249645,1275554.484523681,251764.48111033236,-97236.93328531,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:31.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-6.751583613367444,-4.605990839252108,1275554.4846746088,251765.83005484176,-97236.83202960908,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:36.619,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-3.56515099164632,-6.965387633334991,1275554.4848259825,251767.17899745307,-97236.73077332608,1544613.379511222,2566666.666666667,4111280.046177889,1.0,1e+31
2025-07-03 00:13:41.619,15.681837752920002,352.7621637036111,31.24677557231565,0.2858437613082246,349.2748997849843,18.729676791596404,-352.7621637036111,-15.49008364887819,-5.161476169221835,1275554.4849778218,251768.5279651374,-97236.62951446696,1544613.379511222,2566666.666666667,4111280.046177889,0.01822769536402069,353.13981320228964
